


Bayesian estimates
==================

Locus Parameter        2.5%      25.0%    mode     75.0%   97.5%     median   mean
    4  Theta_1         0.00052  0.00134  0.00184  0.00240  0.00388  0.00201  0.00211
    4  Theta_2         0.00010  0.00073  0.00111  0.00150  0.00236  0.00118  0.00122
    4  Theta_3         0.00016  0.00085  0.00130  0.00180  0.00312  0.00146  0.00156
    4  Theta_4         0.00059  0.00139  0.00190  0.00244  0.00383  0.00204  0.00213
    4  Theta_5         0.00099  0.00184  0.00235  0.00297  0.00435  0.00253  0.00261
    4  Theta_6         0.00062  0.00139  0.00186  0.00237  0.00363  0.00199  0.00206
    4  Theta_7         0.00065  0.00148  0.00199  0.00256  0.00405  0.00216  0.00226
    4  Theta_8         0.00062  0.00142  0.00191  0.00244  0.00378  0.00204  0.00212
    4  Theta_9         0.00109  0.00198  0.00252  0.00316  0.00462  0.00270  0.00278
    4  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   841.09
    4  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   742.78
    4  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   682.22
    4  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   709.81
    4  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   759.31
    4  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   744.95
    4  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   704.34
    4  D_6->1          0.00000  0.00020  0.00097  0.00167  0.00327  0.00150  0.00100
    4  D_2->3          0.00000  0.00020  0.00097  0.00167  0.00327  0.00143  0.00097
    4  D_3->4          0.00000  0.00020  0.00103  0.00173  0.00333  0.00150  0.00105
    4  D_4->5          0.00000  0.00033  0.00110  0.00187  0.00340  0.00157  0.00114
    4  D_5->6          0.00000  0.00027  0.00110  0.00180  0.00347  0.00157  0.00113
    4  D_6->7          0.00000  0.00027  0.00103  0.00180  0.00340  0.00150  0.00109
    4  D_7->8          0.00000  0.00027  0.00110  0.00180  0.00353  0.00157  0.00113
    4  D_8->9          0.00000  0.00027  0.00110  0.00187  0.00353  0.00157  0.00115
    5  Theta_1         0.00083  0.00170  0.00238  0.00313  0.00521  0.00267  0.00284
    5  Theta_2         0.00000  0.00061  0.00102  0.00145  0.00238  0.00113  0.00118
    5  Theta_3         0.00009  0.00086  0.00138  0.00204  0.00390  0.00167  0.00183
    5  Theta_4         0.00085  0.00175  0.00237  0.00312  0.00503  0.00265  0.00279
    5  Theta_5         0.00134  0.00238  0.00307  0.00383  0.00592  0.00331  0.00346
    5  Theta_6         0.00071  0.00159  0.00215  0.00283  0.00455  0.00240  0.00251
    5  Theta_7         0.00078  0.00182  0.00247  0.00327  0.00524  0.00276  0.00293
    5  Theta_8         0.00085  0.00179  0.00249  0.00326  0.00527  0.00276  0.00291
    5  Theta_9         0.00157  0.00276  0.00345  0.00430  0.00632  0.00370  0.00383
    5  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   881.03
    5  M_3->4             0.00     0.00  1525.88 28076.17 64086.91 28381.35   757.83
    5  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   716.81
    5  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   631.64
    5  M_6->7             0.00     0.00  1525.88 28076.17 64697.27 28381.35   819.94
    5  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   686.97
    5  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   704.75
    5  D_6->1          0.00000  0.00020  0.00097  0.00173  0.00340  0.00150  0.00101
    5  D_2->3          0.00000  0.00020  0.00097  0.00173  0.00353  0.00150  0.00105
    5  D_3->4          0.00000  0.00027  0.00110  0.00187  0.00367  0.00157  0.00116
    5  D_4->5          0.00000  0.00033  0.00123  0.00200  0.00393  0.00170  0.00131
    5  D_5->6          0.00000  0.00040  0.00137  0.00213  0.00420  0.00177  0.00145
    5  D_6->7          0.00000  0.00027  0.00110  0.00187  0.00380  0.00157  0.00117
    5  D_7->8          0.00000  0.00033  0.00123  0.00200  0.00400  0.00170  0.00130
    5  D_8->9          0.00000  0.00040  0.00123  0.00207  0.00400  0.00170  0.00134
    6  Theta_1         0.00052  0.00132  0.00182  0.00237  0.00382  0.00198  0.00208
    6  Theta_2         0.00012  0.00073  0.00111  0.00150  0.00233  0.00117  0.00121
    6  Theta_3         0.00013  0.00084  0.00128  0.00178  0.00305  0.00144  0.00153
    6  Theta_4         0.00053  0.00129  0.00179  0.00233  0.00370  0.00194  0.00203
    6  Theta_5         0.00104  0.00190  0.00244  0.00303  0.00446  0.00259  0.00267
    6  Theta_6         0.00060  0.00135  0.00182  0.00233  0.00367  0.00196  0.00205
    6  Theta_7         0.00058  0.00137  0.00186  0.00240  0.00380  0.00202  0.00211
    6  Theta_8         0.00060  0.00142  0.00193  0.00244  0.00380  0.00205  0.00213
    6  Theta_9         0.00110  0.00197  0.00251  0.00309  0.00464  0.00267  0.00277
    6  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   854.26
    6  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   745.69
    6  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   687.24
    6  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   697.52
    6  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   761.78
    6  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   743.74
    6  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   726.18
    6  D_6->1          0.00000  0.00020  0.00097  0.00167  0.00333  0.00150  0.00100
    6  D_2->3          0.00000  0.00020  0.00097  0.00167  0.00327  0.00143  0.00098
    6  D_3->4          0.00000  0.00020  0.00103  0.00173  0.00333  0.00150  0.00105
    6  D_4->5          0.00000  0.00027  0.00110  0.00180  0.00340  0.00157  0.00110
    6  D_5->6          0.00000  0.00027  0.00110  0.00180  0.00340  0.00157  0.00112
    6  D_6->7          0.00000  0.00027  0.00103  0.00180  0.00340  0.00150  0.00109
    6  D_7->8          0.00000  0.00027  0.00103  0.00180  0.00340  0.00150  0.00109
    6  D_8->9          0.00000  0.00027  0.00110  0.00180  0.00347  0.00157  0.00114
    7  Theta_1         0.00062  0.00147  0.00204  0.00270  0.00444  0.00227  0.00240
    7  Theta_2         0.00005  0.00068  0.00108  0.00148  0.00239  0.00116  0.00121
    7  Theta_3         0.00012  0.00087  0.00136  0.00193  0.00357  0.00158  0.00172
    7  Theta_4         0.00076  0.00164  0.00221  0.00296  0.00482  0.00251  0.00265
    7  Theta_5         0.00158  0.00254  0.00321  0.00404  0.00615  0.00353  0.00367
    7  Theta_6         0.00069  0.00148  0.00199  0.00261  0.00404  0.00219  0.00228
    7  Theta_7         0.00069  0.00155  0.00208  0.00275  0.00444  0.00233  0.00245
    7  Theta_8         0.00076  0.00165  0.00224  0.00287  0.00453  0.00242  0.00254
    7  Theta_9         0.00150  0.00258  0.00327  0.00403  0.00607  0.00350  0.00364
    7  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   861.76
    7  M_3->4             0.00     0.00  1525.88 28076.17 64697.27 28381.35   806.74
    7  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   714.46
    7  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   609.73
    7  M_6->7             0.00     0.00  1525.88 28076.17 64086.91 28381.35   775.34
    7  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   725.25
    7  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   748.29
    7  D_6->1          0.00000  0.00020  0.00103  0.00173  0.00347  0.00150  0.00107
    7  D_2->3          0.00000  0.00020  0.00103  0.00173  0.00347  0.00150  0.00106
    7  D_3->4          0.00000  0.00027  0.00110  0.00187  0.00353  0.00157  0.00114
    7  D_4->5          0.00000  0.00033  0.00117  0.00193  0.00367  0.00163  0.00124
    7  D_5->6          0.00000  0.00047  0.00137  0.00220  0.00400  0.00177  0.00143
    7  D_6->7          0.00000  0.00033  0.00123  0.00200  0.00380  0.00163  0.00127
    7  D_7->8          0.00000  0.00033  0.00117  0.00193  0.00380  0.00163  0.00125
    7  D_8->9          0.00000  0.00033  0.00117  0.00193  0.00373  0.00163  0.00125
    8  Theta_1         0.00059  0.00137  0.00187  0.00247  0.00396  0.00207  0.00218
    8  Theta_2         0.00014  0.00078  0.00117  0.00157  0.00247  0.00125  0.00129
    8  Theta_3         0.00018  0.00090  0.00136  0.00187  0.00319  0.00152  0.00161
    8  Theta_4         0.00056  0.00135  0.00185  0.00240  0.00381  0.00201  0.00211
    8  Theta_5         0.00112  0.00202  0.00254  0.00314  0.00450  0.00269  0.00277
    8  Theta_6         0.00069  0.00146  0.00194  0.00246  0.00367  0.00207  0.00213
    8  Theta_7         0.00062  0.00143  0.00193  0.00248  0.00388  0.00209  0.00218
    8  Theta_8         0.00073  0.00157  0.00207  0.00266  0.00402  0.00223  0.00231
    8  Theta_9         0.00120  0.00204  0.00258  0.00324  0.00470  0.00279  0.00287
    8  M_2->3             0.00     0.00  1525.88 28076.17 64086.91 28381.35   791.56
    8  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   729.97
    8  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   675.11
    8  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   712.27
    8  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   724.62
    8  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   742.07
    8  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   681.20
    8  D_6->1          0.00000  0.00020  0.00103  0.00173  0.00333  0.00150  0.00103
    8  D_2->3          0.00000  0.00020  0.00097  0.00167  0.00327  0.00150  0.00099
    8  D_3->4          0.00000  0.00020  0.00103  0.00173  0.00333  0.00150  0.00106
    8  D_4->5          0.00000  0.00033  0.00110  0.00187  0.00340  0.00157  0.00114
    8  D_5->6          0.00000  0.00033  0.00110  0.00187  0.00340  0.00157  0.00114
    8  D_6->7          0.00000  0.00027  0.00110  0.00180  0.00347  0.00157  0.00111
    8  D_7->8          0.00000  0.00027  0.00103  0.00180  0.00340  0.00157  0.00110
    8  D_8->9          0.00000  0.00033  0.00117  0.00193  0.00360  0.00157  0.00119
    9  Theta_1         0.00048  0.00131  0.00186  0.00255  0.00435  0.00214  0.00228
    9  Theta_2         0.00001  0.00070  0.00116  0.00170  0.00290  0.00135  0.00142
    9  Theta_3         0.00025  0.00110  0.00168  0.00236  0.00422  0.00195  0.00211
    9  Theta_4         0.00068  0.00162  0.00223  0.00292  0.00461  0.00244  0.00256
    9  Theta_5         0.00148  0.00268  0.00346  0.00439  0.00649  0.00376  0.00387
    9  Theta_6         0.00071  0.00166  0.00229  0.00300  0.00482  0.00251  0.00265
    9  Theta_7         0.00099  0.00195  0.00258  0.00334  0.00527  0.00285  0.00299
    9  Theta_8         0.00092  0.00195  0.00262  0.00347  0.00569  0.00296  0.00314
    9  Theta_9         0.00164  0.00275  0.00356  0.00441  0.00660  0.00384  0.00399
    9  M_2->3             0.00     0.00  1525.88 27465.82 64086.91 27771.00   624.19
    9  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   537.80
    9  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   658.51
    9  M_5->6             0.00     0.00  1525.88 28076.17 64697.27 28381.35   866.51
    9  M_6->7             0.00     0.00  1525.88 28076.17 64697.27 28381.35   837.38
    9  M_7->8             0.00     0.00  1525.88 28076.17 64697.27 28381.35   937.81
    9  M_8->9             0.00     0.00  1525.88 28076.17 64697.27 28381.35   906.48
    9  D_6->1          0.00000  0.00033  0.00130  0.00207  0.00407  0.00170  0.00136
    9  D_2->3          0.00000  0.00047  0.00137  0.00220  0.00427  0.00177  0.00147
    9  D_3->4          0.00000  0.00053  0.00150  0.00233  0.00433  0.00190  0.00159
    9  D_4->5          0.00000  0.00040  0.00130  0.00207  0.00387  0.00170  0.00136
    9  D_5->6          0.00000  0.00027  0.00110  0.00187  0.00373  0.00157  0.00116
    9  D_6->7          0.00000  0.00040  0.00130  0.00213  0.00440  0.00177  0.00145
    9  D_7->8          0.00000  0.00020  0.00103  0.00173  0.00360  0.00157  0.00108
    9  D_8->9          0.00000  0.00020  0.00110  0.00180  0.00380  0.00157  0.00115
   10  Theta_1         0.00049  0.00126  0.00175  0.00230  0.00374  0.00193  0.00202
   10  Theta_2         0.00007  0.00068  0.00106  0.00143  0.00223  0.00112  0.00115
   10  Theta_3         0.00011  0.00080  0.00124  0.00172  0.00298  0.00138  0.00148
   10  Theta_4         0.00048  0.00123  0.00169  0.00221  0.00354  0.00185  0.00193
   10  Theta_5         0.00094  0.00179  0.00230  0.00286  0.00428  0.00245  0.00254
   10  Theta_6         0.00063  0.00139  0.00185  0.00237  0.00364  0.00199  0.00207
   10  Theta_7         0.00053  0.00129  0.00176  0.00227  0.00358  0.00190  0.00198
   10  Theta_8         0.00060  0.00137  0.00185  0.00236  0.00368  0.00198  0.00207
   10  Theta_9         0.00107  0.00195  0.00247  0.00306  0.00441  0.00262  0.00269
   10  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   884.10
   10  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   762.06
   10  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   715.11
   10  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   698.11
   10  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   754.09
   10  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   748.55
   10  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   751.95
   10  D_6->1          0.00000  0.00020  0.00097  0.00167  0.00327  0.00143  0.00097
   10  D_2->3          0.00000  0.00013  0.00090  0.00160  0.00327  0.00143  0.00095
   10  D_3->4          0.00000  0.00020  0.00097  0.00173  0.00333  0.00150  0.00102
   10  D_4->5          0.00000  0.00027  0.00103  0.00180  0.00333  0.00150  0.00109
   10  D_5->6          0.00000  0.00027  0.00110  0.00180  0.00347  0.00157  0.00111
   10  D_6->7          0.00000  0.00027  0.00110  0.00180  0.00347  0.00157  0.00111
   10  D_7->8          0.00000  0.00027  0.00103  0.00180  0.00347  0.00150  0.00109
   10  D_8->9          0.00000  0.00027  0.00110  0.00180  0.00347  0.00157  0.00111
   11  Theta_1         0.00067  0.00159  0.00222  0.00303  0.00497  0.00254  0.00268
   11  Theta_2         0.00001  0.00065  0.00106  0.00150  0.00246  0.00117  0.00122
   11  Theta_3         0.00012  0.00089  0.00144  0.00209  0.00392  0.00171  0.00187
   11  Theta_4         0.00078  0.00171  0.00240  0.00313  0.00512  0.00263  0.00278
   11  Theta_5         0.00140  0.00263  0.00337  0.00420  0.00655  0.00365  0.00387
   11  Theta_6         0.00085  0.00175  0.00238  0.00310  0.00500  0.00264  0.00278
   11  Theta_7         0.00100  0.00193  0.00260  0.00346  0.00557  0.00296  0.00311
   11  Theta_8         0.00087  0.00187  0.00257  0.00332  0.00536  0.00282  0.00297
   11  Theta_9         0.00173  0.00296  0.00385  0.00461  0.00652  0.00396  0.00406
   11  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   886.98
