Kure,Pearl_Hermes,Maro_Reef,French_Frigate_Shoals,Kauai,Oahu,Molokai,Maui,Hawaii
0.000,1.000,0.821,0.691,0.050,1.000,0.050,0.200,0.050
0.002,0.000,1.000,1.000,0.315,1.000,0.543,1.000,0.263
0.035,0.005,0.000,1.000,0.543,1.000,1.000,1.000,0.821
0.032,0.013,-0.002,0.000,0.315,1.000,1.000,1.000,0.505
0.081,0.070,0.041,0.044,0.000,0.120,0.901,1.000,1.000
-0.002,0.005,0.027,0.023,0.079,0.000,0.263,0.558,0.113
0.096,0.069,0.025,-0.001,0.022,0.082,0.000,1.000,1.000
0.093,0.054,0.011,0.006,0.020,0.074,-0.016,0.000,1.000
0.096,0.072,0.027,0.031,0.007,0.087,0.004,0.001,0.000
