Kure,Pearl_Hermes,Maro_Reef,French_Frigate_Shoals,Kauai,Oahu,Molokai,Maui,Hawaii
0,-0.0028,0.0314,0.0485,0.0051,0.002,0.0657,0.0046,0.0335
-0.0028,0,0.0025,0.0219,-0.0099,-0.0201,0.0339,-0.0129,0.0102
0.0314,0.0025,0,0.0259,0.019,0.0201,0.015,0.0067,-0.0181
0.0485,0.0219,0.0259,0,0.034,0.0185,-0.0118,0.0121,0.0052
0.0051,-0.0099,0.019,0.034,0,-0.0022,0.0404,-0.0079,0.011
0.002,-0.0201,0.0201,0.0185,-0.0022,0,0.0315,-0.0118,0.014
0.0657,0.0339,0.015,-0.0118,0.0404,0.0315,0,0.0203,0.0036
0.0046,-0.0129,0.0067,0.0121,-0.0079,-0.0118,0.0203,0,0.0025
0.0335,0.0102,-0.0181,0.0052,0.011,0.014,0.0036,0.0025,0
