V1,V2
-179,29.1
-179,29.1
-179,29.1
-179,29.1
-179,29.1
-179,29.1
-179,29.1
-179,29.1
-179,29.1
-179,29.1
-175.833333,27.833333
-175.833333,27.833333
-175.833333,27.833333
-170.65564,25.449043
-170.65564,25.449043
-170.65564,25.449043
-170.65564,25.449043
-170.65564,25.449043
-166.166667,23.750278
-166.166667,23.750278
-166.166667,23.750278
-166.166667,23.750278
-166.166667,23.750278
-166.166667,23.750278
-166.166667,23.750278
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-159.581807,22.124792
-157.818501,21.400363
-157.818501,21.400363
-157.818501,21.400363
-157.818501,21.400363
-157.818501,21.400363
-157.0226,21.1444
-157.0226,21.1444
-157.0226,21.1444
-157.0226,21.1444
-157.0226,21.1444
-157.0226,21.1444
-157.0226,21.1444
-156.296895,20.749399
-156.296895,20.749399
-156.296895,20.749399
-156.296895,20.749399
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
-155.450948,19.718583
