X252,X971,X1436,X1534,X1885,X2592,X2740,X6323,X6363,X6771,X7388,X7459,X7473,X8172,X8968,X16466,X21163,X22486,X24151,X24267,X25960,X26203,X27667,X27937,X31173,X34681,X37852,X38444,X45222,X46128,X46759,X49106,X50910,X51081,X51203,X51698,X51854,X56920,X58385,X58715,X58809,X59031,X59125,X60920,X64339,X71438,X73740,X78135,X80672,X85275,X88906,X89586,X92247,X92479,X92932,X93538,X93604,X94300,X95455,X99873,X105223,X109349,X109591,X109783,X110117,X110181,X113291,X121764,X133376,X150487,X167857,X169333,X170508,X187246,X230095,X304934,X857732,X1238564,X1339376,X1350639,X1380846,X1409138,X1449932,X1712911,X1785352,X1818317,X1860182,X1895206,X1929695,X1962664,X1999931,X2012568,X2046282,X2069206,X2096718,Mean
0,0.1,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0.1,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0.02947368421052632
0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.1736842105263158
0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0.05052631578947369
0.2222222222222222,0.1111111111111111,0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0,0,0.1111111111111111,0,0,0.1111111111111111,0.1111111111111111,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0,0.1111111111111111,0.1111111111111111,0,0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0,0.2222222222222222,0.2222222222222222,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0,0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0,0.2222222222222222,0,0.2222222222222222,0.1309941520467836
0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.2,0,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0.13333333333333333,0.2,0,0,0.06666666666666667,0.06666666666666667,0,0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0,0.06666666666666667,0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.2,0.06666666666666667,0.06666666666666667,0.2,0,0.06666666666666667,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0,0.06666666666666667,0.2,0.13333333333333333,0.2,0.13333333333333333,0,0.06666666666666667,0.06666666666666667,0,0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0.06666666666666667,0,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.06666666666666667,0.2,0,0.06666666666666667,0.2,0.06666666666666667,0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.08421052631578947
0,0,0,0.2,0.1,0,0.1,0.1,0.2,0,0,0.1,0.1,0,0.2,0,0.2,0.1,0,0,0.1,0.2,0.1,0,0.2,0.1,0,0.1,0.1,0,0.2,0,0.1,0,0.1,0.1,0,0.1,0.2,0,0,0.2,0,0,0.1,0.1,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.2,0.2,0.1,0.2,0.1,0.1,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0.2,0,0.1,0.2,0,0.2,0.2,0,0.2,0,0.2,0,0.1,0.2,0,0,0,0.2,0.2,0.2,0.1,0.2,0.1,0,0.08842105263157896
0.1,0.2,0.1,0.1,0,0.1,0.2,0.1,0,0,0.1,0.1,0,0.1,0.2,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0,0,0,0.1,0.2,0,0.2,0,0.1,0.2,0.2,0,0,0.1,0,0.2,0.1,0,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0,0.2,0,0,0.1,0.2,0,0.1,0.1,0.1,0.2,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0.06526315789473684
0,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1705263157894737
0.058823529411764705,0.23529411764705882,0,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.17647058823529413,0,0.17647058823529413,0.058823529411764705,0,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941,0,0.17647058823529413,0,0,0,0.17647058823529413,0.058823529411764705,0,0.11764705882352941,0.058823529411764705,0,0,0.11764705882352941,0,0.11764705882352941,0,0.11764705882352941,0,0.058823529411764705,0,0.058823529411764705,0,0,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0,0.11764705882352941,0.058823529411764705,0,0.11764705882352941,0.23529411764705882,0,0,0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0,0.23529411764705882,0.17647058823529413,0,0.058823529411764705,0,0.23529411764705882,0.058823529411764705,0,0.11764705882352941,0.058823529411764705,0,0.11764705882352941,0,0,0,0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0,0,0.058823529411764705,0,0.11764705882352941,0.17647058823529413,0,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.06996904024767801
0.07777777777777778,0.13333333333333333,0.044444444444444446,0.1,0.13333333333333333,0.06666666666666667,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.06666666666666667,0.12222222222222222,0.12222222222222222,0.14444444444444443,0.08888888888888889,0.06666666666666667,0.12222222222222222,0.044444444444444446,0.03333333333333333,0.06666666666666667,0.15555555555555556,0.06666666666666667,0.07777777777777778,0.13333333333333333,0.08888888888888889,0.03333333333333333,0.05555555555555555,0.12222222222222222,0.08888888888888889,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.06666666666666667,0.13333333333333333,0.1111111111111111,0.06666666666666667,0.07777777777777778,0.1111111111111111,0.07777777777777778,0.14444444444444443,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.12222222222222222,0.05555555555555555,0.07777777777777778,0.12222222222222222,0.044444444444444446,0.07777777777777778,0.08888888888888889,0.1,0.1,0.06666666666666667,0.08888888888888889,0.08888888888888889,0.13333333333333333,0.13333333333333333,0.07777777777777778,0.08888888888888889,0.1,0.07777777777777778,0.1111111111111111,0.16666666666666666,0.08888888888888889,0.06666666666666667,0.06666666666666667,0.044444444444444446,0.12222222222222222,0.13333333333333333,0.044444444444444446,0.12222222222222222,0.044444444444444446,0.05555555555555555,0.08888888888888889,0.044444444444444446,0.1111111111111111,0.1,0.08888888888888889,0.13333333333333333,0.08888888888888889,0.1111111111111111,0.022222222222222223,0.03333333333333333,0.07777777777777778,0.05555555555555555,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.12222222222222222,0.13333333333333333,0.05555555555555555,0.1,0.06666666666666667,0.1,0.09017543859649123
