parameter,2.5%,25%,50%,75%,97.5%,mode,mean,sd
theta Kure,0.0020631142037477877,0.002148568638222548,0.0021912958554599284,0.0022340230726973086,0.002307269730818532,0.002197399743636697,0.0021911021637173304,6.385219143078162e-5
theta P&H,0.0010681804309345055,0.0010986998718183485,0.0011170115363486543,0.0011414270890557287,0.001184154306293109,0.0011170115363486543,0.0011194941084569734,3.074638256087597e-5
theta Maro,0.0013184398461820181,0.001336751510712324,0.0013550631752426298,0.0013794787279497042,0.001428309833363853,0.0013489592870658612,0.0013613115150945582,3.0742248985335995e-5
theta FFS,0.0019593481047427215,0.0020203869865104075,0.002057010315571019,0.0020936336446316308,0.0021729841909296226,0.0020509064273942505,0.0020584454424913,5.5202739575937246e-5
theta Kauai,0.002826100225843863,0.0028627235549044745,0.0028932429957883176,0.0029237624366721606,0.0029970090947933838,0.0028810352194347803,0.002897296174649485,4.468107296320253e-5
theta Oahu,0.0020325947628639447,0.002087529756454862,0.002118049197338705,0.002148568638222548,0.002209607519990234,0.002118049197338705,0.002119055393426414,4.714797261055225e-5
theta Molokai,0.002057010315571019,0.002118049197338705,0.002148568638222548,0.0021851919672831598,0.002258438625404383,0.002148568638222548,0.002151942930970541,5.3230680577712876e-5
theta Maui,0.002246230849050846,0.0022645425135811516,0.0022828541781114574,0.002307269730818532,0.0023744125007629864,0.00227064640175792,0.0022916693406294934,3.38643679912314e-5
theta Big Is.,0.0028932429957883176,0.002978697430263078,0.003021424647500458,0.0030641518647378384,0.0031557101873893674,0.0030153207593236896,0.003021255932413963,6.705445708951036e-5
