Pop,Holaniku,Manawai,Kamakuokamohoali'i,Lalo,Kaua'i,O'ahu,Moloka'i,Maui,Hawai'i
Holaniku,0,0.005,0.006,0.01,0.025,0.005,0.036,0.024,0.031
Manawai,0.005,0,0.001,0.003,0.02,-0.002,0.023,0.004,0.025
Kamakuokamohoali'i,0.006,0.001,0,0,0.013,0.002,0.012,0.002,0.011
Lalo,0.01,0.003,0,0,0.019,0.007,0.011,0.011,0.015
Kaua'i,0.025,0.02,0.013,0.019,0,0.025,0.011,0.012,0.004
O'ahu,0.005,-0.002,0.002,0.007,0.025,0,0.023,0.011,0.004
Moloka'i,0.036,0.023,0.012,0.011,0.011,0.023,0,0.005,0.005
Maui,0.024,0.004,0.002,0.011,0.012,0.011,0.005,0,0.012
Hawai'i,0.031,0.025,0.011,0.015,0.004,0.004,0.005,0.012,0
