


Bayesian estimates
==================

Locus Parameter        2.5%      25.0%    mode     75.0%   97.5%     median   mean
   37  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   378.85
   38  Theta_1         0.00160  0.00290  0.00378  0.00460  0.00590  0.00383  0.00380
   38  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    87.07
   39  Theta_1         0.00050  0.00160  0.00243  0.00325  0.00435  0.00248  0.00244
   39  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   349.40
   40  Theta_1         0.00065  0.00180  0.00263  0.00345  0.00460  0.00268  0.00264
   40  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   374.87
   41  Theta_1         0.00140  0.00270  0.00358  0.00440  0.00560  0.00363  0.00356
   41  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   128.81
   42  Theta_1         0.00130  0.00250  0.00338  0.00420  0.00545  0.00343  0.00340
   42  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    97.03
   43  Theta_1         0.00040  0.00155  0.00238  0.00320  0.00425  0.00243  0.00239
   43  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   334.59
   44  Theta_1         0.00075  0.00195  0.00283  0.00360  0.00480  0.00288  0.00282
   44  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   381.46
   45  Theta_1         0.00100  0.00220  0.00308  0.00385  0.00505  0.00313  0.00307
   45  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    97.89
   46  Theta_1         0.00070  0.00185  0.00268  0.00350  0.00465  0.00273  0.00270
   46  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   385.11
   47  Theta_1         0.00075  0.00195  0.00283  0.00360  0.00480  0.00288  0.00283
   47  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   380.05
   48  Theta_1         0.00055  0.00170  0.00258  0.00335  0.00450  0.00263  0.00257
   48  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   378.98
   49  Theta_1         0.00065  0.00180  0.00263  0.00345  0.00460  0.00268  0.00264
   49  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   379.85
   50  Theta_1         0.00110  0.00235  0.00323  0.00405  0.00535  0.00328  0.00324
   50  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   308.67
   51  Theta_1         0.00075  0.00190  0.00278  0.00355  0.00475  0.00283  0.00277
   51  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   386.48
   52  Theta_1         0.00070  0.00190  0.00273  0.00355  0.00465  0.00278  0.00273
   52  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   384.75
   53  Theta_1         0.00135  0.00260  0.00348  0.00430  0.00555  0.00353  0.00350
   53  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    92.17
   54  Theta_1         0.00105  0.00230  0.00318  0.00400  0.00525  0.00323  0.00318
   54  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   268.19
   55  Theta_1         0.00180  0.00310  0.00403  0.00485  0.00620  0.00408  0.00403
   55  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    98.27
   56  Theta_1         0.00065  0.00180  0.00268  0.00345  0.00460  0.00273  0.00266
   56  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   368.19
   57  Theta_1         0.00105  0.00235  0.00323  0.00405  0.00530  0.00328  0.00322
   57  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   299.55
   58  Theta_1         0.00065  0.00185  0.00268  0.00350  0.00465  0.00273  0.00270
   58  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   377.60
   59  Theta_1         0.00105  0.00225  0.00308  0.00390  0.00510  0.00313  0.00309
   59  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   131.65
   60  Theta_1         0.00070  0.00185  0.00273  0.00350  0.00470  0.00278  0.00272
   60  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   381.22
   61  Theta_1         0.00055  0.00165  0.00253  0.00330  0.00445  0.00258  0.00252
   61  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   360.23
   62  Theta_1         0.00070  0.00185  0.00273  0.00350  0.00470  0.00278  0.00271
   62  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   366.98
   63  Theta_1         0.00125  0.00245  0.00333  0.00410  0.00535  0.00338  0.00333
   63  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   143.67
   64  Theta_1         0.00100  0.00230  0.00318  0.00400  0.00530  0.00323  0.00317
   64  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   329.43
   65  Theta_1         0.00060  0.00175  0.00263  0.00340  0.00455  0.00268  0.00263
   65  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   287.94
   66  Theta_1         0.00040  0.00145  0.00233  0.00310  0.00420  0.00238  0.00231
   66  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   337.84
   67  Theta_1         0.00060  0.00175  0.00258  0.00340  0.00450  0.00263  0.00260
   67  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   375.57
   68  Theta_1         0.00050  0.00165  0.00253  0.00330  0.00440  0.00258  0.00251
   68  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   381.43
   69  Theta_1         0.00060  0.00175  0.00263  0.00340  0.00455  0.00268  0.00262
   69  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   385.92
   70  Theta_1         0.00080  0.00195  0.00283  0.00360  0.00480  0.00288  0.00282
   70  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   186.63
   71  Theta_1         0.00145  0.00270  0.00358  0.00440  0.00565  0.00363  0.00357
   71  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   149.53
   72  Theta_1         0.00185  0.00315  0.00403  0.00485  0.00615  0.00408  0.00403
   72  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   111.17
   73  Theta_1         0.00180  0.00315  0.00403  0.00485  0.00615  0.00408  0.00402
   73  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    87.27
   74  Theta_1         0.00075  0.00190  0.00278  0.00355  0.00475  0.00283  0.00276
   74  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   297.27
   75  Theta_1         0.00065  0.00180  0.00268  0.00345  0.00460  0.00273  0.00268
   75  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   384.20
   76  Theta_1         0.00055  0.00170  0.00253  0.00335  0.00445  0.00258  0.00255
   76  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   289.69
   77  Theta_1         0.00055  0.00170  0.00258  0.00335  0.00445  0.00263  0.00256
   77  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   383.30
   78  Theta_1         0.00070  0.00190  0.00273  0.00355  0.00470  0.00278  0.00274
   78  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   383.43
   79  Theta_1         0.00065  0.00180  0.00263  0.00345  0.00460  0.00268  0.00264
   79  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   376.89
   80  Theta_1         0.00070  0.00190  0.00278  0.00355  0.00475  0.00283  0.00276
   80  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   363.94
   81  Theta_1         0.00140  0.00265  0.00353  0.00435  0.00560  0.00358  0.00352
   81  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    98.07
   82  Theta_1         0.00060  0.00170  0.00258  0.00335  0.00450  0.00263  0.00256
   82  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   226.07
   83  Theta_1         0.00060  0.00180  0.00263  0.00345  0.00455  0.00268  0.00263
   83  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   373.19
   84  Theta_1         0.00000  0.00100  0.00178  0.00255  0.00350  0.00188  0.00180
   84  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   123.25
   85  Theta_1         0.00135  0.00265  0.00353  0.00435  0.00555  0.00353  0.00351
   85  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    91.40
   86  Theta_1         0.00045  0.00155  0.00238  0.00320  0.00430  0.00243  0.00240
   86  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   366.73
   87  Theta_1         0.00065  0.00180  0.00268  0.00345  0.00460  0.00273  0.00268
   87  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   378.98
   88  Theta_1         0.00135  0.00260  0.00348  0.00430  0.00555  0.00353  0.00350
   88  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   187.82
   89  Theta_1         0.00095  0.00220  0.00308  0.00390  0.00510  0.00313  0.00307
   89  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   377.40
   90  Theta_1         0.00055  0.00170  0.00253  0.00335  0.00445  0.00258  0.00254
   90  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   139.40
   91  Theta_1         0.00055  0.00170  0.00258  0.00335  0.00450  0.00263  0.00257
   91  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   284.95
   92  Theta_1         0.00055  0.00170  0.00253  0.00335  0.00445  0.00258  0.00254
   92  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   373.37
   93  Theta_1         0.00055  0.00170  0.00253  0.00335  0.00445  0.00258  0.00253
   93  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   384.27
   94  Theta_1         0.00055  0.00170  0.00253  0.00335  0.00445  0.00258  0.00254
   94  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   375.01
   95  Theta_1         0.00075  0.00190  0.00273  0.00355  0.00470  0.00278  0.00275
   95  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   387.91
   96  Theta_1         0.00085  0.00210  0.00298  0.00380  0.00505  0.00303  0.00297
   96  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   356.70
   97  Theta_1         0.00080  0.00205  0.00293  0.00375  0.00490  0.00298  0.00291
   97  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   362.82
   98  Theta_1         0.00055  0.00170  0.00258  0.00335  0.00450  0.00263  0.00258
   98  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   358.29
   99  Theta_1         0.00140  0.00265  0.00353  0.00435  0.00560  0.00358  0.00353
   99  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00    90.20
  100  Theta_1         0.00035  0.00145  0.00233  0.00310  0.00420  0.00238  0.00232
  100  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   196.59
  101  Theta_1         0.00050  0.00160  0.00243  0.00325  0.00435  0.00248  0.00245
  101  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   371.34
  102  Theta_1         0.00070  0.00190  0.00273  0.00355  0.00470  0.00278  0.00276
  102  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   384.03
  103  Theta_1         0.00070  0.00190  0.00273  0.00355  0.00470  0.00278  0.00273
  103  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   386.95
  104  Theta_1         0.00130  0.00255  0.00343  0.00425  0.00545  0.00348  0.00343
